projectId,name,type,lifeArea,startDate,endDate,goal,milestones
proj_1,Обучение профессии QA-инженер,Проект,Мощное творчество,2025-06-01,2026-09-01,Освоить профессию QA-инженер и автоматизацию тестирования,Сдать проект JWT (2025-08-24 - 2025-08-28); Настроить автотесты для WOLF (2025-08-24 - 2025-09-11); Подготовиться и сдать экзамен ISTQB (2025-09-01 - 2025-10-01)
proj_2,Найти работу,Проект,Финансовый рост,2026-09-11,2027-03-01,Найти работу до 1 марта 2027,Оставить отклики на 500 вакансий (2026-09-11 - 2027-03-01); Сходить на 10 собеседований (2026-09-11 - 2027-03-01)
proj_3,Здоровье и спорт,Проект,Крепкое здоровье,2025-06-01,2027-05-01,Похудеть до 95 кг до 1 мая 2027,Регулярные тренировки и спортзал (2025-06-01 - 2027-05-01)
proj_4,Разработка WOLF,Проект,Мощное творчество,2025-06-01,2025-09-01,Развитие экосистемы WOLF,Релиз 0.2 (2025-08-18 - 2025-08-20); Релиз 0.3 (2025-08-21 - 2025-08-23); Релиз 0.4 (2025-08-24 - 2025-08-26)
proj_5,Работа KNAV,Проект,Финансовый рост,2025-06-01,2025-09-01,Выполнение заказа KNAV,Написать контент-план (2025-08-01 - 2025-08-10); Подготовить маркетинг-конвеер (2025-08-10 - 2025-08-20)
proj_6,Обучение профессии музыкант,Проект,Мощное творчество,2025-06-01,2026-06-01,"Освоение музыкального мастерства, вокала и клавиш",Регулярные музыкальные занятия и вокал (2025-06-01 - 2026-06-01)
proj_7,Найти заказы на фрилансе,Проект,Финансовый рост,2025-08-31,2025-09-18,Обеспечить поток заказов на фрилансе,Оставить отклики на 30 заказов (2025-08-31 - 2025-09-11); Настроить автоотклики (2025-09-11 - 2025-09-18)
proj_8,Изучение английского,Проект,Мощное творчество,2025-06-01,2025-12-01,Сдать экзамен B2,Сдать экзамен B2 (2025-11-01 - 2025-12-01)
proj_9,Подработка и финансы,Проект,Финансовый рост,2025-06-01,2027-12-31,Увеличивать доход через подработку и фриланс,
proj_10,Общее,Проект,Мощное творчество,2025-06-01,2027-12-31,Дела без отдельной области проекта,
routine_1,Бытовые дела,Рутина,Уход за собой,2025-06-01,2027-12-31,Поддержание порядка и быта,
routine_2,Сон и восстановление,Рутина,Уход за собой,2025-06-01,2027-12-31,Качественный сон и режим,
routine_3,Отдых и развлечения,Рутина,Уход за собой,2025-06-01,2027-12-31,Энергетический баланс и отдых,
routine_4,Питание,Рутина,Уход за собой,2025-06-01,2027-12-31,Регулярное здоровое питание,
routine_5,Планирование и рефлексия,Рутина,Мощное творчество,2025-06-01,2027-12-31,Управление целями и временем,
